"Max Conc","Exp Time","Temp","Cell Viab","Adj Cell Viab","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","5","25.75","-0.00018014052095923","-0.00018014052095923","","0","300","0.5","2.5666666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.7","","N/A","N/A","5","5.3","","N/A","N/A","7","8.1833333333333","","N/A","N/A","7","7.2","","N/A","N/A","5","5.2","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1410"
"7","5","25.75","-0.0011955932885211","-0.0011955932885211","","0","300","0.5","2.5666666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.7","","N/A","N/A","5","5.3","","N/A","N/A","7","8.1833333333333","","N/A","N/A","7","7.2","","N/A","N/A","5","5.2","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1410"
"7","5","25.75","-0.00024423815593665","-0.00024423815593665","","0","300","0.5","2.5666666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.7","","N/A","N/A","5","5.3","","N/A","N/A","7","8.1833333333333","","N/A","N/A","7","7.2","","N/A","N/A","5","5.2","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1410"
"7","5","25.75","6.9989354829493E-5","6.9989354829493E-5","","0","300","0.5","2.5666666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.7","","N/A","N/A","5","5.3","","N/A","N/A","7","8.1833333333333","","N/A","N/A","7","7.2","","N/A","N/A","5","5.2","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1410"
"7","5","25.75","0.00093320566480465","0.00093320566480465","","0","300","0.5","2.5666666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.7","","N/A","N/A","5","5.3","","N/A","N/A","7","8.1833333333333","","N/A","N/A","7","7.2","","N/A","N/A","5","5.2","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1410"
"7","10","25.2","-0.0015543869262902","-0.0015543869262902","","0","300","0.5","2.5833333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","4.5","4.6666666666667","","N/A","N/A","10","10.2","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1666666666667","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1210"
"7","10","25.2","-0.00047139786611806","-0.00047139786611806","","0","300","0.5","2.5833333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","4.5","4.6666666666667","","N/A","N/A","10","10.2","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1666666666667","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1210"
"7","10","25.2","0.0015261655957277","0.0015261655957277","","0","300","0.5","2.5833333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","4.5","4.6666666666667","","N/A","N/A","10","10.2","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1666666666667","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1210"
"7","10","25.2","-0.00033871473433229","-0.00033871473433229","","0","300","0.5","2.5833333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","4.5","4.6666666666667","","N/A","N/A","10","10.2","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1666666666667","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1210"
"7","10","25.2","0.00097523408377589","0.00097523408377589","","0","300","0.5","2.5833333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","4.5","4.6666666666667","","N/A","N/A","10","10.2","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1666666666667","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1210"
