Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),Exp Time (min),Temp (°C),Cell Viab (%)
1.0,0.0,0.0,0.0,0.0,30,26.8,0.74395207721791
1.0,0.0,0.0,0.0,0.0,30,26.8,1.0054584734036
1.0,0.0,0.0,0.0,0.0,30,26.8,1.0823008928585
1.0,0.0,0.0,0.0,0.0,30,26.8,0.91693918986926
1.0,0.0,0.0,0.0,0.0,60,26.8,1.0613019339985
1.0,0.0,0.0,0.0,0.0,60,26.8,0.99090574934571
1.0,0.0,0.0,0.0,0.0,60,26.8,1.0165342387403
1.0,0.0,0.0,0.0,0.0,60,26.8,1.1298808383807
1.0,0.0,0.0,0.0,0.0,60,26.8,1.031352110926
3.0,0.0,0.0,0.0,0.0,5,24.9,0.99936865012512
3.0,0.0,0.0,0.0,0.0,5,24.9,0.93064153295523
3.0,0.0,0.0,0.0,0.0,5,24.9,1.275267409865
3.0,0.0,0.0,0.0,0.0,5,24.9,1.0065803832408
3.0,0.0,0.0,0.0,0.0,5,24.9,1.031510588692
3.0,0.0,0.0,0.0,0.0,10,25.5,0.95660644294796
3.0,0.0,0.0,0.0,0.0,10,25.5,0.919157641773
3.0,0.0,0.0,0.0,0.0,10,25.5,0.95422475951047
3.0,0.0,0.0,0.0,0.0,10,25.5,0.86438143691673
3.0,0.0,0.0,0.0,0.0,10,25.5,0.90224122376496
3.0,0.0,0.0,0.0,0.0,30,25,1.0296235680769
3.0,0.0,0.0,0.0,0.0,30,25,0.95859868831572
3.0,0.0,0.0,0.0,0.0,30,25,1.029576576245
3.0,0.0,0.0,0.0,0.0,30,25,0.9566239542393
3.0,0.0,0.0,0.0,0.0,30,25,0.97363690004116
3.0,0.0,0.0,0.0,0.0,60,24.9,0.86067388164189
3.0,0.0,0.0,0.0,0.0,60,24.9,0.94725741523973
3.0,0.0,0.0,0.0,0.0,60,24.9,0.90249979602889
3.0,0.0,0.0,0.0,0.0,60,24.9,0.84256750813884
3.0,0.0,0.0,0.0,0.0,60,24.9,0.94568610594338
5.0,0.0,0.0,0.0,0.0,5,22.9,1.0962983005104
5.0,0.0,0.0,0.0,0.0,5,22.9,1.1148549205661
5.0,0.0,0.0,0.0,0.0,5,22.9,1.0809724072693
5.0,0.0,0.0,0.0,0.0,5,22.9,0.90360847950649
5.0,0.0,0.0,0.0,0.0,5,22.9,1.1382462067659
5.0,0.0,0.0,0.0,0.0,10,25.3,1.0069190358625
5.0,0.0,0.0,0.0,0.0,10,25.3,0.90751855900179
5.0,0.0,0.0,0.0,0.0,10,25.3,0.80112983300731
5.0,0.0,0.0,0.0,0.0,10,25.3,0.88352247073212
5.0,0.0,0.0,0.0,0.0,10,25.3,1.0089832339045
5.0,0.0,0.0,0.0,0.0,30,25.1,0.99845839748892
5.0,0.0,0.0,0.0,0.0,30,25.1,0.86106617457463
5.0,0.0,0.0,0.0,0.0,30,25.1,0.86441734836503
5.0,0.0,0.0,0.0,0.0,30,25.1,0.98061262850983
5.0,0.0,0.0,0.0,0.0,30,25.1,0.94742513424513
5.0,0.0,0.0,0.0,0.0,60,24.3,0.56385613528463
5.0,0.0,0.0,0.0,0.0,60,24.3,0.62131202885672
5.0,0.0,0.0,0.0,0.0,60,24.3,0.44285576000884
5.0,0.0,0.0,0.0,0.0,60,24.3,0.56643111162065
5.0,0.0,0.0,0.0,0.0,60,24.3,0.516873632769
7.0,0.0,0.0,0.0,0.0,5,24.1,0.9917231582486
7.0,0.0,0.0,0.0,0.0,5,24.1,0.9490841066562
7.0,0.0,0.0,0.0,0.0,5,24.1,0.99581383984717
7.0,0.0,0.0,0.0,0.0,5,24.1,0.94051292554715
7.0,0.0,0.0,0.0,0.0,5,24.1,0.84383984461143
7.0,0.0,0.0,0.0,0.0,10,26.5,0.87987222297661
7.0,0.0,0.0,0.0,0.0,10,26.5,0.89780790888086
7.0,0.0,0.0,0.0,0.0,10,26.5,0.99392358052191
7.0,0.0,0.0,0.0,0.0,10,26.5,1.1262432004638
7.0,0.0,0.0,0.0,0.0,10,26.5,1.0929490012667
7.0,0.0,0.0,0.0,0.0,30,25.4,0.92139053148594
7.0,0.0,0.0,0.0,0.0,30,25.4,0.90797282543598
7.0,0.0,0.0,0.0,0.0,30,25.4,0.76975544847396
7.0,0.0,0.0,0.0,0.0,30,25.4,0.69117577945648
7.0,0.0,0.0,0.0,0.0,30,25.4,0.85287836437293
7.0,0.0,0.0,0.0,0.0,60,25.15,0.17611694837934
7.0,0.0,0.0,0.0,0.0,60,25.15,0.17425699878111
7.0,0.0,0.0,0.0,0.0,60,25.15,0.16032233420787
7.0,0.0,0.0,0.0,0.0,60,25.15,0.20096221650706
7.0,0.0,0.0,0.0,0.0,60,25.15,0.18621553158904
10.0,0.0,0.0,0.0,0.0,5,27,1.0315587083722
10.0,0.0,0.0,0.0,0.0,5,27,0.87283993774
10.0,0.0,0.0,0.0,0.0,5,27,0.96297732960667
10.0,0.0,0.0,0.0,0.0,5,27,1.0036960805729
10.0,0.0,0.0,0.0,0.0,5,27,0.91420249904994
10.0,0.0,0.0,0.0,0.0,10,27,0.87222368816002
10.0,0.0,0.0,0.0,0.0,10,27,0.8925687869198
10.0,0.0,0.0,0.0,0.0,10,27,0.80423420993328
10.0,0.0,0.0,0.0,0.0,10,27,1.0588921511567
10.0,0.0,0.0,0.0,0.0,10,27,0.74822457887013
10.0,0.0,0.0,0.0,0.0,30,27,0.34004680129956
10.0,0.0,0.0,0.0,0.0,30,27,0.49577794579499
10.0,0.0,0.0,0.0,0.0,30,27,0.57005262079663
10.0,0.0,0.0,0.0,0.0,30,27,0.49696931692792
10.0,0.0,0.0,0.0,0.0,30,27,0.47958127293739
10.0,0.0,0.0,0.0,0.0,60,27.1,0.0043297624708652
10.0,0.0,0.0,0.0,0.0,60,27.1,0.0097821015959837
10.0,0.0,0.0,0.0,0.0,60,27.1,0.0054398005041771
10.0,0.0,0.0,0.0,0.0,60,27.1,0.0037064967181992
10.0,0.0,0.0,0.0,0.0,60,27.1,0.0025814240142327
0.0,1.0,0.0,0.0,0.0,5,23.9,0.79659317495676
0.0,1.0,0.0,0.0,0.0,5,23.9,1.2927740074916
0.0,1.0,0.0,0.0,0.0,5,23.9,0.97140146987464
0.0,1.0,0.0,0.0,0.0,5,23.9,1.0059425830775
0.0,1.0,0.0,0.0,0.0,5,23.9,0.62096508363065
0.0,1.0,0.0,0.0,0.0,10,26.6,0.96551636941354
0.0,1.0,0.0,0.0,0.0,10,26.6,1.0640997198272
0.0,1.0,0.0,0.0,0.0,10,26.6,1.0947881680179
0.0,1.0,0.0,0.0,0.0,10,26.6,1.0502734726813
0.0,1.0,0.0,0.0,0.0,10,26.6,1.0365422420437
0.0,1.0,0.0,0.0,0.0,30,26.8,0.89560829732321
0.0,1.0,0.0,0.0,0.0,30,26.8,0.97521807585506
0.0,1.0,0.0,0.0,0.0,30,26.8,0.82317553013086
0.0,1.0,0.0,0.0,0.0,30,26.8,0.83253530468275
0.0,1.0,0.0,0.0,0.0,30,26.8,1.1758725783927
0.0,1.0,0.0,0.0,0.0,60,26.8,1.0428227279419
