Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),Exp Time (min),Temp (°C),Cell Viab (%)
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,10,25.2,0.74353116387463
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,10,25.2,0.89675138473826
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,10,25.2,0.87820883721487
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,30,25.75,1.0274503838194
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,30,25.75,0.87560618971797
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,30,25.75,0.76993958536507
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,30,25.75,0.91662177450586
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,30,25.75,0.80445076591985
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,60,25.5,0.43713177737126
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,60,25.5,0.33197714718571
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,60,25.5,0.44920363971537
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,60,25.5,0.39480860812065
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,60,25.5,0.37737196147482
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,5,25.75,0.85833108368225
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,5,25.75,0.9320026724199
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,5,25.75,0.99317658003855
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,5,25.75,0.96398844164277
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,5,25.75,0.92099795726975
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,5,25.75,0.98599958518688
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,10,25.2,1.0092429817043
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,10,25.2,0.95917395251275
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,10,25.2,0.90276932585635
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,10,25.2,0.7721201594257
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,10,25.2,0.85789484146463
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,30,25.75,0.90305241620979
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,30,25.75,0.80270787243069
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,30,25.75,0.99095792340056
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,30,25.75,0.98980170528352
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,30,25.75,0.90826992614422
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,60,25.5,0.77087108654172
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,60,25.5,0.8392978786329
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,60,25.5,0.78465135203521
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,60,25.5,0.47415359001411
2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,0.0,60,25.5,0.81368062342716
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,5,25.75,1.0118345126422
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,5,25.75,0.84157493464465
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,5,25.75,1.0338677390623
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,5,25.75,0.94568387439539
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,5,25.75,1.2045879825356
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,10,25.2,1.0206817082087
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,10,25.2,0.9137612752251
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,10,25.2,0.82916206649065
